#bin	name	chrom	strand	txStart	txEnd
20	NR_034089	chr1	-	93310108	93345811
20	NM_000110	chr1	-	97077743	97921059
22	NR_126382	chr1	+	110082687	110109719
22	NM_001160234	chr1	+	116383369	116404776
22	NM_001160233	chr1	+	116373866	116404776
22	NM_000701	chr1	+	116373172	116404776
22	NM_006090	chr1	+	111140210	111185102
22	NM_001007794	chr1	+	111139626	111185102
26	NM_001198834	chr1	+	148889451	149033019
26	NR_103556	chr1	+	146547488	146822034
26	NM_020205	chr1	-	149940329	150010737
26	NM_001195261	chr1	+	148889402	148932728
26	NM_001198832	chr1	+	148844388	149033019
26	NM_022359	chr1	+	148808180	148932728
26	NM_001195260	chr1	+	148887372	148932728
26	NM_014455	chr1	-	145746081	145824123
26	NM_001002812	chr1	+	148889451	148993883
26	NM_001002810	chr1	+	148889451	148932728
26	NR_104189	chr1	+	144641368	144919902
26	NM_014644	chr1	+	148889451	149033019
27	NM_001044391	chr1	-	155185823	155192915
27	NM_001044390	chr1	-	155185823	155192915
27	NM_001199661	chr1	+	156212987	156243332
27	NM_001018017	chr1	-	155185823	155192915
27	NM_001159484	chr1	-	153992691	154155116
27	NM_001018016	chr1	-	155185823	155192915
27	NM_207308	chr1	-	153992691	154155116
27	NM_001204287	chr1	-	155185823	155192915
27	NM_001204286	chr1	-	155185823	155192915
27	NM_001204285	chr1	-	155185823	155192915
27	NM_001204291	chr1	-	155185823	155192915
27	NM_001204290	chr1	-	155185823	155192915
27	NM_001204289	chr1	-	155185823	155192915
27	NM_001204288	chr1	-	155185823	155192915
27	NM_001199662	chr1	+	156212987	156243332
27	NM_001204296	chr1	-	155185823	155192915
27	NM_001204295	chr1	-	155185823	155192915
27	NM_001204294	chr1	-	155185823	155192915
27	NM_002456	chr1	-	155185823	155192915
27	NM_001204297	chr1	-	155185823	155192915
27	NM_001199664	chr1	+	156212987	156243332
27	NM_001199663	chr1	+	156212987	156243332
27	NM_001199654	chr1	+	156212987	156240077
27	NM_001199653	chr1	+	156212987	156240077
27	NM_001204292	chr1	-	155185823	155192915
27	NM_001044393	chr1	-	155185823	155192915
27	NM_001044392	chr1	-	155185823	155192915
27	NM_007221	chr1	+	156212987	156240077
27	NM_001204293	chr1	-	155185823	155192915
28	NM_001184763	chr1	+	162497173	162529629
28	NM_175866	chr1	+	162497804	162529629
28	NM_001204963	chr1	+	164559359	164851823
28	NM_000696	chr1	-	165662211	165698663
28	NM_001204961	chr1	+	164559359	164851823
28	NM_002585	chr1	+	164559359	164851823
28	NM_144624	chr1	+	162497804	162529629
29	NM_001278252	chr1	+	171841477	172133392
29	NM_015569	chr1	+	171841477	172412717
29	NM_001136127	chr1	+	171841477	172412717
29	NM_181093	chr1	-	169853075	169893959
29	NM_022093	chr1	+	175067857	175148066
29	NM_020423	chr1	-	169853075	169893959
30	NM_201569	chr1	+	183472370	183554193
30	NM_173156	chr1	+	183472370	183554193
30	NM_021165	chr1	+	177171387	177282422
30	NM_003101	chr1	+	179293713	179358679
30	NR_045530	chr1	+	179293713	179358679
30	NM_201568	chr1	+	183472370	183554193
30	NM_170692	chr1	+	178093728	178479513
30	NM_001174061	chr1	+	183472370	183554193
30	NM_001252512	chr1	+	179293713	179358679
30	NM_001252511	chr1	+	179293713	179358679
30	NM_032360	chr1	-	180288216	180502887
30	NM_001137669	chr1	+	182450120	182560598
31	NR_110793	chr1	-	185558379	185628488
32	NM_133494	chr1	+	198156977	198322418
32	NM_001206846	chr1	-	197084126	197146694
32	NM_018136	chr1	-	197084126	197146694
33	NM_000573	chr1	+	207496127	207641765
33	NM_000651	chr1	+	207496127	207641765
33	NM_001167858	chr1	+	202348701	202438242
33	NM_001167857	chr1	+	202348701	202438242
33	NM_182665	chr1	+	206557163	206589284
33	NM_182664	chr1	+	206507529	206589284
33	NM_182663	chr1	+	206507529	206589284
33	NM_002481	chr1	+	202348701	202588569
33	NM_212503	chr1	+	205504555	205532793
33	NM_212502	chr1	+	205504555	205532793
33	NM_002596	chr1	+	205504555	205532793
33	NM_002646	chr1	-	204422629	204490346
34	NM_014053	chr1	+	212858254	212899363
34	NM_172362	chr1	-	210678314	211134115
34	NM_001243511	chr1	-	216503245	217137755
34	NM_001243510	chr1	-	216503245	217137755
34	NM_001134285	chr1	-	216503245	217137755
34	NM_001243506	chr1	-	216503245	217089645
34	NM_014873	chr1	-	211743456	211830772
34	NM_001243507	chr1	-	216503245	217076970
34	NM_001243509	chr1	-	216503245	217076970
34	NM_001243505	chr1	-	216503245	217089854
34	NM_002238	chr1	-	210678314	211134115
34	NR_037850	chr1	-	213819640	213986153
34	NM_206594	chr1	-	216503245	217089645
34	NM_206595	chr1	-	216503245	217089645
34	NM_206933	chr1	-	215622893	216423396
35	NM_025160	chr1	-	224385142	224434299
35	NM_017982	chr1	-	223220818	223364202
35	NM_001037175	chr1	-	223234909	223364202
35	NM_012414	chr1	-	220148267	220272501
35	NM_001115113	chr1	-	224385142	224434299
35	NR_038845	chr1	-	219080972	219173788
36	NM_001164537	chr1	+	231626814	232041273
36	NR_028398	chr1	+	231528652	231819244
36	NR_028397	chr1	+	231528652	231819244
36	NR_028396	chr1	+	231528652	231819244
36	NR_028395	chr1	+	231528652	231819244
36	NR_028394	chr1	+	231528652	231819244
36	NR_028393	chr1	+	231528652	232041273
36	NR_028400	chr1	+	231528652	231750619
36	NM_001164556	chr1	+	231626814	231819244
36	NM_001164555	chr1	+	231626814	231750619
36	NM_001164551	chr1	+	231626814	231750619
36	NM_001164549	chr1	+	231626814	231771662
36	NM_001164548	chr1	+	231626814	231819244
36	NM_001164547	chr1	+	231626814	232009654
36	NM_001164546	chr1	+	231626814	231959503
36	NM_014777	chr1	+	229626215	229660200
36	NM_007357	chr1	+	230642455	230693985
36	NM_001164545	chr1	+	231626814	231819244
36	NM_001164542	chr1	+	231626814	231959503
36	NM_001164541	chr1	+	231626814	232009654
36	NM_001164540	chr1	+	231626814	232041273
36	NM_001164539	chr1	+	231626814	231855379
36	NM_018662	chr1	+	231626814	232041273
36	NM_001164538	chr1	+	231626814	232009654
36	NM_001164544	chr1	+	231626814	231819244
36	NM_001145036	chr1	+	230642455	230693985
36	NM_001012959	chr1	+	231626814	231866706
36	NM_001012957	chr1	+	231626814	232041273
36	NM_001314021	chr1	+	229626215	229660200
37	NM_152666	chr1	-	242088386	242524696
37	NM_001195811	chr1	-	242088386	242449482
37	NM_001282773	chr1	-	240775513	241357230
37	NM_002924	chr1	-	240775513	241357230
37	NM_001305424	chr1	+	240091884	240475189
37	NM_001282778	chr1	-	240775513	241357230
37	NM_001195812	chr1	-	242088386	242449482
37	NM_001282775	chr1	-	240775513	241357230
37	NM_020066	chr1	+	240091884	240475189
38	NM_022743	chr1	-	245749339	246417412
38	NM_001167740	chr1	-	245749339	246507342
38	NM_018012	chr1	+	245154984	245703126
73	NR_026874	chr1	-	916817	919692
73	NR_122045	chr1	-	916817	919692
74	NM_024011	chr1	-	1702383	1724565
74	NM_001313896	chr1	-	1702383	1724565
74	NM_001304360	chr1	-	1921950	2003837
74	NM_001282539	chr1	-	1785284	1891117
74	NM_199121	chr1	+	1435522	1442882
74	NM_022834	chr1	+	1435522	1442882
74	NM_001130045	chr1	+	1173905	1197933
74	NM_001282538	chr1	-	1785284	1891117
74	NM_001313982	chr1	-	1702383	1724565
74	NM_014188	chr1	-	1541672	1574882
74	NM_153339	chr1	+	1308613	1311677
74	NM_033529	chr1	-	1702383	1724565
74	NM_002074	chr1	-	1785284	1891117
74	NR_132739	chr1	-	1702383	1724565
74	NR_132740	chr1	-	1702383	1724565
75	NM_033467	chr1	-	2590641	2633042
75	NM_024848	chr1	-	2321252	2391751
75	NM_014638	chr1	+	2476314	2505530
75	NM_001242672	chr1	-	2641367	2789665
75	NM_001301060	chr1	-	2355174	2391751
75	NM_001303012	chr1	+	2467458	2505530
75	NM_001303013	chr1	+	2476314	2505530
76	NM_001409	chr1	-	3487941	3611495
76	NM_001204187	chr1	+	3652564	3736201
76	NM_001204186	chr1	+	3652564	3736201
76	NM_001204185	chr1	+	3652564	3736201
76	NM_001204184	chr1	+	3652564	3736201
76	NM_001204188	chr1	+	3652564	3736201
76	NM_005427	chr1	+	3652564	3736201
77	NM_018836	chr1	+	4655044	4783791
77	NM_001042478	chr1	+	4655044	4777794
78	NM_172130	chr1	+	6026012	6101193
78	NM_003636	chr1	+	6026012	6101193
78	NM_015102	chr1	-	5862807	5992473
78	NM_015557	chr1	-	6101786	6180134
78	NM_001291593	chr1	-	5862807	5992473
78	NM_001291594	chr1	-	5862807	5992473
78	NM_001199861	chr1	+	5992297	6101193
78	NR_111987	chr1	-	5862807	5992473
79	NM_001242701	chr1	+	6785323	6888201
79	NM_024654	chr1	-	6521346	6554598
79	NM_001195563	chr1	+	6785323	6872047
79	NM_018198	chr1	-	6634167	6701906
79	NR_038934	chr1	+	6785323	6888201
81	NM_001135585	chr1	-	9041367	9069828
81	NM_025106	chr1	+	9292881	9369531
81	NR_132742	chr1	-	9148010	9182338
81	NM_003039	chr1	-	9036945	9069828
82	NM_006048	chr1	+	10032982	10181238
82	NM_005026	chr1	+	9651731	9729114
82	NM_022787	chr1	+	9943427	9985498
82	NM_183416	chr1	+	10210705	10308597
82	NM_001105562	chr1	+	10032982	10181238
82	NM_001297778	chr1	+	9942922	9985498
82	NM_001297779	chr1	+	9943427	9981766
82	NM_032315	chr1	+	9539468	9582773
82	NM_015074	chr1	+	10210705	10381603
83	NM_004958	chr1	-	11106530	11262551
83	NM_017766	chr1	-	10647205	10796676
83	NM_001079843	chr1	-	10636605	10796676
84	NM_005957	chr1	-	11785729	11806103
84	NM_018438	chr1	+	11664092	11674352
84	NM_001066	chr1	+	12167002	12209220
84	NM_015378	chr1	+	12230038	12512046
84	NM_018156	chr1	+	12230038	12512046
85	NM_001010847	chr1	-	13474976	13513747
85	NM_001099790	chr1	-	13368430	13371947
86	NM_015866	chr1	+	13704854	13788079
86	NM_012231	chr1	+	13704854	13825079
86	NM_001135610	chr1	+	13700239	13825079
86	NM_001007257	chr1	+	13749380	13788079
87	NM_001018001	chr1	+	14929799	15068155
87	NM_033440	chr1	+	15456727	15472091
87	NM_018022	chr1	+	15153732	15220478
87	NM_001018000	chr1	+	14924128	15068155
87	NM_001136218	chr1	+	15153732	15220478
87	NM_001136217	chr1	+	15152531	15220478
87	NM_001136216	chr1	+	15152531	15220478
87	NM_052929	chr1	+	15247271	15398126
88	NR_073503	chr1	+	16367029	16398148
88	NR_073502	chr1	+	16367029	16398148
88	NR_073501	chr1	+	16367029	16398148
88	NR_073500	chr1	+	16367029	16398148
88	NM_018994	chr1	-	16246839	16352491
88	NM_015001	chr1	+	15847863	15940455
88	NM_001271869	chr1	+	16367029	16398148
88	NM_001114600	chr1	+	16367029	16398148
88	NR_027504	chr1	+	16645573	16650420
89	NM_001136204	chr1	-	17406754	17438563
89	NM_018715	chr1	-	17406754	17439754
89	NM_003000	chr1	-	17018725	17054170
89	NM_018125	chr1	+	17539834	17697875
89	NM_001011722	chr1	+	17580552	17697875
90	NM_152375	chr1	+	18480929	18485986
90	NM_032880	chr1	+	18107745	18378483
90	NM_001135254	chr1	+	18631005	18748866
91	NM_004930	chr1	-	19338772	19485641
91	NM_001282162	chr1	-	19338772	19484707
91	NR_040289	chr1	-	19265981	19274074
91	NR_040288	chr1	-	19265981	19274074
91	NM_001206541	chr1	-	19338772	19485641
91	NM_001206540	chr1	-	19338772	19485641
91	NM_020765	chr1	-	19074505	19210252
91	NM_181719	chr1	-	19682212	19799917
91	NM_001313932	chr1	-	19374174	19485641
92	NM_001122819	chr1	-	20664013	20718017
92	NM_020816	chr1	-	20664013	20718017
92	NM_001039500	chr1	+	20290918	20354894
92	NM_001287212	chr1	-	20664013	20718017
92	NR_110078	chr1	-	20184242	20186486
93	NM_032236	chr1	-	21678298	21783195
93	NM_001113347	chr1	-	21217246	21279690
93	NM_005529	chr1	-	21822231	21937297
93	NM_002885	chr1	-	21596214	21669363
93	NM_001397	chr1	-	21217246	21290489
93	NM_001113349	chr1	-	21217246	21290273
93	NM_001113348	chr1	-	21217246	21345541
93	NM_001145658	chr1	-	21596214	21651855
93	NM_001291860	chr1	-	21822231	21937297
93	NM_001032730	chr1	-	21727845	21783195
93	NM_001145657	chr1	-	21596214	21669363
94	NM_004442	chr1	+	22710837	22921500
94	NM_017449	chr1	+	22710837	22921500
94	NM_001309193	chr1	+	22710837	22921500
94	NM_001309192	chr1	+	22710837	22921500
95	NM_001143778	chr1	-	23428562	23484257
95	NM_005826	chr1	-	23304689	23344364
95	NM_001102399	chr1	-	23304689	23344364
95	NM_001102398	chr1	-	23304689	23344364
95	NM_001102397	chr1	-	23304689	23344364
95	NM_001297620	chr1	-	23304689	23344364
95	NM_017707	chr1	-	23428562	23484257
95	NM_001297621	chr1	-	23304689	23344364
95	NM_001297622	chr1	-	23304689	23344364
95	NM_000147	chr1	-	23845080	23868369
96	NM_001251984	chr1	+	24502350	24537020
96	NM_001251983	chr1	+	24502896	24537020
96	NM_001251981	chr1	+	24502896	24537020
96	NM_001199014	chr1	-	24356998	24413772
96	NM_001199013	chr1	-	24356998	24413772
96	NM_001199012	chr1	-	24356998	24415097
96	NM_013943	chr1	+	24745268	24844324
96	NM_013441	chr1	+	24502896	24537020
96	NM_001251977	chr1	+	24502896	24537020
96	NM_001251978	chr1	+	24507593	24537020
96	NM_001251979	chr1	+	24502350	24537020
96	NM_178122	chr1	-	24356998	24413772
96	NM_004350	chr1	-	24899510	24930279
96	NM_001031680	chr1	-	24899510	24965010
97	NM_016124	chr1	+	25272485	25330445
97	NM_020379	chr1	+	25617467	25786207
97	NR_024498	chr1	-	25819953	25823606
97	NM_001282872	chr1	+	25272485	25330445
97	NM_001282871	chr1	+	25272485	25330445
97	NM_001282870	chr1	+	25272485	25330445
97	NM_001289010	chr1	+	25617467	25786207
97	NM_019557	chr1	+	25820192	25832942
97	NM_001282867	chr1	+	25272485	25330445
97	NM_001282868	chr1	+	25272485	25330445
97	NM_001282869	chr1	+	25272485	25330445
97	NM_015627	chr1	+	25543584	25568886
97	NM_001099627	chr1	+	25819905	25832942
97	NM_001099626	chr1	+	25820827	25832942
97	NM_001099625	chr1	+	25819905	25832942
97	NM_001127691	chr1	+	25272485	25330445
98	NM_006015	chr1	+	26696030	26782110
98	NM_139135	chr1	+	26696030	26782110
98	NR_046474	chr1	-	27098808	27155130
98	NM_005517	chr1	+	26472410	26476642
98	NM_001039775	chr1	-	26321858	26354130
98	NM_001013642	chr1	+	26993703	27000886
98	NM_003047	chr1	-	27098808	27155130
99	NM_005281	chr1	+	27392643	27395813
99	NM_001164722	chr1	-	28147165	28193936
99	NM_001164721	chr1	-	28147165	28193936
99	NR_104214	chr1	-	27988472	28088637
99	NM_001990	chr1	-	27970343	28088637
99	NM_177424	chr1	+	27773182	27824452
99	NM_001282562	chr1	-	27970343	28088637
99	NM_001282561	chr1	-	27970343	28088637
99	NM_001282560	chr1	-	27977272	28088637
100	NM_001166005	chr1	+	28887090	29120046
100	NM_006582	chr1	+	28668727	28715603
100	NM_004437	chr1	+	28887090	29120046
100	NM_024482	chr1	+	28668727	28715603
100	NM_001048183	chr1	+	28369581	28500369
100	NM_001166007	chr1	+	28887090	29120046
100	NM_001166006	chr1	+	28914575	29065221
100	NR_003109	chr1	+	28553016	28578545
100	NM_203343	chr1	+	28887090	29120046
100	NM_203342	chr1	+	28887090	29120046
100	NM_016011	chr1	-	29192656	29230958
100	NM_000911	chr1	+	28812141	28863696
100	NM_023923	chr1	+	28438149	28500369
100	NM_017846	chr1	+	28553016	28578545
100	NM_001024732	chr1	-	29192656	29230958
101	NR_110790	chr1	-	30013951	30037612
102	NM_001282574	chr1	+	31296981	31364953
102	NM_001282573	chr1	+	31296981	31364953
102	NM_001282572	chr1	+	31296981	31364953
102	NM_001282571	chr1	+	31296981	31364953
102	NM_001282570	chr1	+	31296981	31364953
102	NM_001282569	chr1	+	31296981	31364953
102	NM_001282568	chr1	+	31296981	31364953
102	NM_001282567	chr1	+	31296981	31364953
102	NM_001282566	chr1	+	31296981	31364953
102	NM_014676	chr1	-	30931505	31065717
102	NM_016505	chr1	+	31296981	31364953
102	NM_024522	chr1	-	31179744	31239887
102	NM_001020658	chr1	-	30931505	31065717
103	NM_012316	chr1	+	32108042	32176567
103	NM_001143889	chr1	-	32364632	32394461
103	NM_001143890	chr1	-	32364632	32394461
103	NR_125352	chr1	-	32364632	32394461
103	NM_018045	chr1	-	32364632	32394461
103	NM_001300958	chr1	-	32364632	32394461
103	NM_001143888	chr1	-	32364632	32394461
104	NM_001199199	chr1	-	33007939	33036911
104	NM_001625	chr1	-	33011224	33036911
104	NM_001198973	chr1	+	32765633	32774970
104	NM_020888	chr1	+	32741910	32774970
104	NM_013411	chr1	-	33007939	33036911
104	NM_033504	chr1	-	32894594	32901352
104	NM_001198972	chr1	+	32765633	32774970
104	NR_037591	chr1	-	33007939	33036911
104	NM_152493	chr1	+	33256572	33300719
104	NM_178547	chr1	-	32621215	32650590
104	NR_037592	chr1	-	33011224	33036911
104	NM_018207	chr1	-	33145401	33182070
104	NM_001308141	chr1	-	32621215	32650590
104	NM_001308139	chr1	-	32621215	32650590
104	NM_001308140	chr1	-	32621215	32650590
104	NM_001308136	chr1	-	32621215	32650590
104	NM_001308135	chr1	-	32621215	32650590
104	NM_001308137	chr1	-	32621215	32650590
104	NM_001308138	chr1	-	32621215	32650590
105	NM_032884	chr1	+	34166882	34219130
105	NM_001134734	chr1	+	34176951	34219130
106	NM_024874	chr1	-	35433489	35557436
106	NM_007167	chr1	-	34986165	35031968
106	NM_005095	chr1	+	35268966	35421944
107	NM_024852	chr1	+	35931081	36056462
107	NM_001286366	chr1	+	36155964	36180849
107	NM_001162530	chr1	+	36306392	36321347
107	NM_018067	chr1	+	36155964	36180849
107	NM_001286365	chr1	+	36155964	36180849
107	NM_145047	chr1	-	36417905	36450485
107	NM_177422	chr1	+	35931081	36056462
107	NM_206837	chr1	-	36428299	36450485
107	NM_012199	chr1	+	35883208	35929613
108	NM_001242910	chr1	-	37611349	37634923
108	NM_001242909	chr1	-	37611349	37634923
108	NM_001242908	chr1	-	37611349	37634923
108	NM_000831	chr1	-	36795526	37034243
108	NM_001038633	chr1	-	37611349	37634923
109	NM_001297434	chr1	-	37860696	37931791
109	NM_005540	chr1	-	37860696	37947057
110	NM_012090	chr1	+	39084166	39487138
110	NM_001304746	chr1	-	38885805	38929513
110	NM_017821	chr1	-	38885805	38941830
111	NM_001142587	chr1	+	40691569	40771606
111	NM_012421	chr1	+	40161368	40240921
111	NM_001142590	chr1	+	40692007	40771606
111	NM_001142589	chr1	+	40691569	40771606
111	NM_001308115	chr1	+	40709322	40771606
111	NM_001142588	chr1	+	40691569	40771606
111	NM_014747	chr1	-	40620679	40665652
111	NM_001308114	chr1	+	40738835	40771606
111	NM_014223	chr1	+	40691569	40771606
112	NM_012236	chr1	-	41027198	41242143
112	NM_024503	chr1	-	41506364	41918707
112	NM_001172221	chr1	-	41027198	41163017
112	NM_001127714	chr1	-	41506364	41918707
112	NM_001172220	chr1	-	41027198	41242143
112	NM_001172218	chr1	-	41027198	41242143
112	NM_001172219	chr1	-	41027198	41242143
112	NM_001172222	chr1	-	41027198	41159933
112	NR_037868	chr1	+	41014589	41043890
112	NM_001031694	chr1	-	41027198	41161432
113	NM_001080850	chr1	+	42534888	42654664
113	NM_001198852	chr1	-	42176538	42335215
113	NM_001198851	chr1	-	42176538	42334965
113	NM_001198850	chr1	-	42176538	42335877
113	NM_001287511	chr1	+	42456493	42473378
113	NR_104171	chr1	+	42857621	42888792
113	NM_014947	chr1	-	42176538	42335232
114	NM_001270463	chr1	+	43707532	43931165
114	NM_001270462	chr1	+	43707532	43931165
114	NM_001270466	chr1	+	43707532	43931165
114	NM_001270465	chr1	+	43707532	43931165
114	NM_001270464	chr1	+	43707532	43931165
114	NR_073023	chr1	+	43707532	43931165
114	NR_073021	chr1	+	43707532	43931165
114	NR_073020	chr1	+	43707532	43931165
114	NR_073019	chr1	+	43707532	43931165
114	NR_073018	chr1	+	43707532	43931165
114	NR_073017	chr1	+	43707532	43931165
114	NR_073016	chr1	+	43707532	43931165
114	NM_006279	chr1	+	43707532	43931165
114	NM_201542	chr1	-	43383907	43389812
114	NM_174971	chr1	+	43707532	43931165
114	NM_174970	chr1	+	43707532	43931165
114	NM_174969	chr1	+	43707532	43931165
114	NM_174968	chr1	+	43707532	43931165
114	NM_174967	chr1	+	43707532	43931165
114	NM_001270461	chr1	+	43707532	43931165
114	NM_001270460	chr1	+	43707532	43931165
114	NM_001270459	chr1	+	43707532	43931165
114	NM_001195831	chr1	+	43172329	43254358
114	NM_174966	chr1	+	43707532	43931165
114	NM_174965	chr1	+	43707532	43931165
114	NM_174964	chr1	+	43707532	43931165
114	NM_174963	chr1	+	43707532	43931165
114	NM_052877	chr1	-	43383907	43389812
114	NM_001001653	chr1	-	43383907	43389812
115	NM_020365	chr1	-	44850521	44986722
115	NM_003738	chr1	-	44822265	44842944
115	NM_001261418	chr1	-	44850521	44986722
115	NM_001301699	chr1	-	44221069	44355279
115	NM_001301698	chr1	-	44221069	44355279
115	NM_001301701	chr1	-	44221069	44355279
115	NM_001301700	chr1	-	44221069	44355279
115	NM_001145636	chr1	+	44674721	44725591
115	NM_001166292	chr1	-	44819843	44842944
115	NM_001166588	chr1	-	44874528	44986722
115	NM_018150	chr1	+	44405287	44651724
115	NM_024066	chr1	-	44221069	44355279
116	NM_007170	chr1	-	45343882	45491168
116	NM_152298	chr1	+	45583987	45618906
116	NM_002482	chr1	+	45583987	45618906
116	NM_005897	chr1	-	45698734	45750813
116	NM_015112	chr1	+	45803612	46036124
116	NM_001145349	chr1	-	45694325	45750813
116	NM_001195193	chr1	+	45583987	45618906
117	NM_001243728	chr1	-	46635038	46665878
117	NM_003579	chr1	+	46247694	46278473
117	NM_022745	chr1	-	46635038	46668427
117	NM_001441	chr1	+	46394266	46413848
117	NM_001142548	chr1	+	46247694	46278473
117	NM_001256418	chr1	-	46635038	46665878
117	NM_001042546	chr1	-	46635038	46668427
118	NM_001194986	chr1	-	47760527	47996890
118	NR_026749	chr1	-	48101714	48182428
119	NM_024603	chr1	-	48727522	48776969
119	NM_001286239	chr1	-	48295371	48472208
119	NM_001286238	chr1	-	48295371	48472208
119	NM_001302082	chr1	-	48727522	48776969
119	NM_019073	chr1	-	48295371	48472208
120	NR_046839	chr1	-	49374200	49472085
